run_id,git_sha,prompt_version,suite,eval_type,ticker,question_id,question,hallucination_ok,elapsed_ms,dialogue_fixture_id,dialogue_turns,dialogue_composite,dialogue_composite_se,dialogue_n,judge_model,agent_model,analyst_likeness,analyst_likeness_rationale,analyst_likeness_se,helpfulness,helpfulness_rationale,helpfulness_se,non_hallucination,non_hallucination_rationale,non_hallucination_se,exploration_quality,exploration_quality_rationale,exploration_quality_se,voice_match,voice_match_rationale,voice_match_se
20260530T055035Z-2b8838-dialogue,793519e,b9a3e2ee16,dialogue,dialogue,AAPL,aapl-thesis-retail-followup,Give me an AAPL thesis. | what does that mean for retail?,1,12520,aapl-thesis-retail-followup,2,0.87,,,equity-agent/bench-gptoss120b (groq/openai/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.8,"The response is detailed and data‑driven, reflecting a competent analyst tone but lacks senior‑level nuance.",,0.9,It directly addresses retail implications with concrete factors and actionable considerations.,,1.0,All numeric claims are sourced and the deterministic check reported clean.,,0.7,The answer provides the needed information but does not probe further or suggest additional angles.,,0.95,"The reply is concise, hedged, and free of padding, apologies, or sign‑offs, matching the ADR style.",
20260530T055035Z-2b8838-dialogue,793519e,b9a3e2ee16,dialogue,dialogue,AAPL,aapl-next-week-watch,What should I watch on AAPL next week?,1,54504,aapl-next-week-watch,1,0.87,,,equity-agent/bench-gptoss120b (groq/openai/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.9,The reply provides specific metrics and nuanced analysis typical of a senior US‑equities analyst.,,0.95,"It gives clear next‑week watch points on valuation, technical overbought risk, and AI news impact.",,1.0,All numeric claims are sourced and the deterministic check reported no errors.,,0.6,"The answer does not seek clarification despite the request being clear, limiting exploratory depth.",,0.9,"The tone is direct, appropriately hedged, and free of padding or sign‑offs.",
20260530T055035Z-2b8838-dialogue,793519e,b9a3e2ee16,dialogue,dialogue,NVDA,nvda-thesis-narrative-numbers,Give me the current NVDA setup.,1,46701,nvda-thesis-narrative-numbers,1,0.86,,,equity-agent/bench-gptoss120b (groq/openai/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.95,"The response is specific, grounded, and uses plain‑spoken analyst language without padding.",,0.9,It directly answers the request with a detailed current technical setup.,,0.9,All numeric claims align with the supplied reports and the deterministic check was clean.,,0.6,"No follow‑up question was needed, but the assistant did not probe further when the request could be expanded.",,0.95,"The tone is direct, appropriately hedged, and free of apologies or filler.",
20260530T055035Z-2b8838-dialogue,793519e,b9a3e2ee16,dialogue,dialogue,AAPL,aapl-compare-one-ticker-clarify,Compare AAPL with them.,1,7839,aapl-compare-one-ticker-clarify,1,0.87,,,equity-agent/bench-gptoss120b (groq/openai/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.8,"The reply is professional, specific, and frames the comparison without generic filler.",,0.85,It offers concrete peer options and prompts the user to specify the comparison aspect.,,0.95,"No numeric or factual claims are made beyond the supplied peer list, matching the clean deterministic check.",,0.9,It seeks clarification on the desired comparison dimension while suggesting relevant peers.,,0.85,"The response is direct, hedged appropriately, and avoids padding, apologies, or sign‑offs.",
20260530T055035Z-2b8838-dialogue,793519e,b9a3e2ee16,dialogue,dialogue,TSLA,vague-thoughts-clarify,What do you think?,1,6769,vague-thoughts-clarify,1,0.22,,,equity-agent/bench-gptoss120b (groq/openai/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.1,The reply lacks analyst insight and sounds unqualified.,,0.0,It provides no useful information or next steps.,,0.9,"No factual claims are made, so it does not hallucinate.",,0.0,It fails to ask clarifying questions despite the vague request.,,0.1,"The tone is apologetic and non‑direct, not matching the ADR voice.",
20260530T055035Z-2b8838-dialogue,793519e,b9a3e2ee16,dialogue,dialogue,MSFT,greeting-capabilities,"Hi, what can you help me with?",1,10425,greeting-capabilities,1,0.92,,,equity-agent/bench-gptoss120b (groq/openai/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.9,"The reply clearly states coverage scope in a concise, analyst-like manner.",,0.9,It directly answers the greeting by outlining services and offering concrete next-step prompts.,,1.0,All factual claims are limited to verifiable company names with no unsupported numbers.,,0.9,It proactively suggests relevant follow-up questions to guide the conversation.,,0.9,"The tone is direct, hedged, and free of padding or apologies.",
20260530T055035Z-2b8838-dialogue,793519e,b9a3e2ee16,dialogue,dialogue,TSLA,tsla-technical-why,Walk me through TSLA's chart setup. | why?,1,17226,tsla-technical-why,2,0.84,,,equity-agent/bench-gptoss120b (groq/openai/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.9,"The response provides specific technical details in a clear, analyst‑style tone.",,0.85,It directly answers the user’s “why” by explaining the mixed trend and its impact.,,0.95,All numeric claims are sourced from the provided technical data and pass the deterministic check.,,0.6,"The answer does not need further clarification, so no follow‑up question is required.",,0.9,"The reply is concise, hedged appropriately, and contains no padding or apologies.",
20260530T055035Z-2b8838-dialogue,793519e,b9a3e2ee16,dialogue,dialogue,MSFT,msft-news-what-matters,"What's driving MSFT headlines, and what actually matters?",1,25651,msft-news-what-matters,1,0.76,,,equity-agent/bench-gptoss120b (groq/openai/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.7,"The reply provides detailed, analyst‑style commentary but includes some templated padding.",,0.85,"It directly identifies headline drivers and key metrics, giving the user actionable insight.",,0.9,All numeric and factual statements align with the supplied reports and pass the deterministic check.,,0.6,"The answer addresses the query without asking follow‑up, which is acceptable but limits deeper exploration.",,0.75,"The tone is direct and hedged with minimal filler, matching the ADR voice.",
20260530T055035Z-2b8838-dialogue,793519e,b9a3e2ee16,dialogue,dialogue,GOOGL,googl-overvalued-plan,Is GOOGL overvalued?,1,21158,googl-overvalued-plan,1,0.89,,,equity-agent/bench-gptoss120b (groq/openai/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.9,"The reply is specific, data‑driven, and plain‑spoken, matching a senior equity analyst’s tone.",,0.9,It directly answers the overvaluation query with relevant valuation metrics and growth figures.,,1.0,All numeric claims are supported and the deterministic check returned clean.,,0.7,"The answer provides ample context but does not ask follow‑up questions, which is acceptable for a clear query.",,0.95,"The response is concise, hedged appropriately, and contains no padding or sign‑offs.",
20260530T055035Z-2b8838-dialogue,793519e,b9a3e2ee16,dialogue,dialogue,META,meta-caution-thesis,Should I be cautious about META here?,1,35025,meta-caution-thesis,1,0.84,,,equity-agent/bench-gptoss120b (groq/openai/gpt-oss-120b),groq/llama-3.3-70b-versatile,0.9,"The reply provides specific valuation and growth metrics in a plain, hedged tone typical of a senior equity analyst.",,0.85,"It directly addresses the user's caution query with concrete data and risk factors, offering actionable insight.",,0.95,"All numeric claims are sourced from the supplied reports and the deterministic check returned clean, indicating no hallucination.",,0.6,"The assistant does not probe the user's investment context or ask follow‑up questions, limiting exploratory depth.",,0.9,"The response is concise, direct, and avoids padding, apologies, or redundant phrasing, matching the ADR voice.",
